 T: 2018-01-31 18:27:19,444 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '3d002ce1-19ad-4ca0-8329-3f7c48e901d5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:39,353 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:39,386 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =ROL user Lodges the Request ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:39,386 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = VerifyDropDownAppeared ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:39,386 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = SelelctingTheDropDownInContactPage ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:39,386 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:39,615 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:40,466 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = SelelctingTheDropDownInContactPage ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:40,467 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = EnterTheValeInTextBox ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:40,467 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:41,125 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = EnterTheValeInTextBox ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:41,126 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = EnterTheValeInTextBox ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:41,126 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:42,146 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = EnterTheValeInTextBox ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:42,146 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = SelelctingTheRadioButton ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:42,146 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:42,313 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = SelelctingTheRadioButton ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:42,313 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = EnterTheValeInTextBox ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:42,313 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:42,813 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = EnterTheValeInTextBox ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:42,814 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = ClickingOnButton ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:42,814 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:45,029 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = ClickingOnButton ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:45,030 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = VerifyTheMessage ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:45,030 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:50,069 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =ROL user Lodges the Request ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:50,069 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '35803393-05e0-4cd7-82e8-1ec308604191' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = VerifyTheMessage ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:50,082 |L: INFO |TH: Agent: adapter run thread for test 'LogoutAsROLUser' with id '76079ef3-3d2d-4420-a475-a63fd02c2485' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LogoutAsUser ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:50,083 |L: INFO |TH: Agent: adapter run thread for test 'LogoutAsROLUser' with id '76079ef3-3d2d-4420-a475-a63fd02c2485' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ApplicationLoginPage ~ MethodName = ClickLogoutLink ~ Message = Entry ~ ScreenShot File = Not Applicable 
