 T: 2018-01-31 18:28:54,693 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '04c9ca8e-bc8c-44fb-8ddb-ed64a2d8c713' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:22,031 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = VerifyDropDownAppeared ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:22,031 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:22,087 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =ROL user Lodges the Request ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:22,087 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = VerifyDropDownAppeared ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:22,088 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = SelelctingTheDropDownInContactPage ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:22,088 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:22,284 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:22,789 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = SelelctingTheDropDownInContactPage ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:22,789 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = EnterTheValeInTextBox ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:22,789 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:23,259 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = EnterTheValeInTextBox ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:23,259 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = EnterTheValeInTextBox ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:23,259 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:24,006 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = EnterTheValeInTextBox ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:24,006 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = SelelctingTheRadioButton ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:24,006 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:24,177 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = SelelctingTheRadioButton ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:24,177 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = EnterTheValeInTextBox ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:24,177 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:24,601 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = EnterTheValeInTextBox ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:24,602 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = ClickingOnButton ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:24,603 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:26,881 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = ClickingOnButton ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:26,882 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = VerifyTheMessage ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:26,882 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:31,919 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =ROL user Lodges the Request ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:31,919 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserLodgesTheRequest' with id '879a7cbe-73b7-4cba-b1f8-85baaba1ea26' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = VerifyTheMessage ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:31,955 |L: INFO |TH: Agent: adapter run thread for test 'LogoutAsROLUser' with id '8b3f49da-6a86-4e47-a6c6-ee265a2a5691' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LogoutAsUser ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:31,955 |L: INFO |TH: Agent: adapter run thread for test 'LogoutAsROLUser' with id '8b3f49da-6a86-4e47-a6c6-ee265a2a5691' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ApplicationLoginPage ~ MethodName = ClickLogoutLink ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:47,636 |L: INFO |TH: Agent: adapter run thread for test 'LogoutAsROLUser' with id '8b3f49da-6a86-4e47-a6c6-ee265a2a5691' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ExceptionHandler ~ MethodName = HandleException ~ Message = chrome not reachable
  (Session info: chrome=63.0.3239.132)
  (Driver info: chromedriver=2.34.522940 (1a76f96f66e3ca7b8e57d503b4dd3bccfba87af1),platform=Windows NT 6.1.7601 SP1 x86_64) (100) ~ ScreenShot File = 2018131182947 
